round,accuracy,privacy_leakage,method
1,0.858085808580858,2.3384920570191903,FL Only
2,0.8613861386138614,2.237186777600671,FL Only
3,0.8646864686468647,2.3813067865711113,FL Only
4,0.8679867986798679,2.3269760627486016,FL Only
5,0.8679867986798679,2.420752943548654,FL Only
6,0.8679867986798679,2.3224304127061526,FL Only
7,0.8745874587458746,2.3204958024842535,FL Only
8,0.8778877887788779,2.2660792226437674,FL Only
9,0.8745874587458746,2.4229213313186735,FL Only
10,0.8778877887788779,2.398559154242872,FL Only
1,0.6633663366336634,100.54956802256127,FL + BQC (Qiskit)
2,0.6633663366336634,93.52872316531084,FL + BQC (Qiskit)
3,0.6633663366336634,94.2635813670545,FL + BQC (Qiskit)
4,0.6633663366336634,93.47225680080264,FL + BQC (Qiskit)
5,0.6633663366336634,96.66373078880908,FL + BQC (Qiskit)
6,0.6633663366336634,92.42255371626858,FL + BQC (Qiskit)
7,0.6633663366336634,96.31855931447717,FL + BQC (Qiskit)
8,0.6633663366336634,94.84530437318847,FL + BQC (Qiskit)
9,0.6633663366336634,91.15696514995825,FL + BQC (Qiskit)
10,0.6633663366336634,94.86728099079754,FL + BQC (Qiskit)
